****************************************************
****************************************************
 mstm calculation results
 date, time:
20220628 160205.741 
 input file:
linear_chain_10.inp
****************************************************
 input variables for run     1
 sphere data input file:
linear_chain_10_config.pos
 number spheres
   10
 length, ref index scale factors
  1.2670000E+00  1.0400000E+00  1.8330000E+00
 volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
  2.7296659E+00  1.2670000E+00  1.2381214E+01  2.7296659E+00
 random orientation, estimated t matrix order:
    20
 layer 0 refractive index
  1.0000E+00  0.0000E+00
 number of plane boundaries 
  0
 max_iterations,solution_epsilon, mie_epsilon
     10000  1.0000E-06  1.0000E-06
 maximum Mie order, number of equations:
   5       700
 mean sphere Mie extinction, absorption efficiencies
  3.4770E+00  1.6863E+00
****************************************************
 calculation results for run 
           1
 number iterations, error, solution time 
     0  0.0000E+00  5.8555E+01
 t matrix order:
    18
 total extinction, absorption, scattering efficiencies (unpolarized incidence)
  5.6601E+00  2.7623E+00  2.8978E+00
 total scattering
 number directions, number SM elements:
   181     6
   theta     11          12          22          33          34          44     
    0.00  5.3331E+00  0.0000E+00  9.9078E-01  9.9078E-01  0.0000E+00  9.8177E-01
    1.00  5.3048E+00 -1.3054E-04  9.9077E-01  9.9077E-01 -2.0903E-04  9.8174E-01
    2.00  5.2211E+00 -5.2102E-04  9.9072E-01  9.9072E-01 -8.4140E-04  9.8167E-01
    3.00  5.0853E+00 -1.1681E-03  9.9064E-01  9.9064E-01 -1.9127E-03  9.8154E-01
    4.00  4.9028E+00 -2.0664E-03  9.9053E-01  9.9053E-01 -3.4476E-03  9.8136E-01
    5.00  4.6804E+00 -3.2091E-03  9.9038E-01  9.9039E-01 -5.4785E-03  9.8113E-01
    6.00  4.4263E+00 -4.5888E-03  9.9020E-01  9.9022E-01 -8.0416E-03  9.8085E-01
    7.00  4.1494E+00 -6.1981E-03  9.8999E-01  9.9003E-01 -1.1173E-02  9.8053E-01
    8.00  3.8588E+00 -8.0321E-03  9.8974E-01  9.8981E-01 -1.4900E-02  9.8018E-01
    9.00  3.5634E+00 -1.0090E-02  9.8946E-01  9.8957E-01 -1.9235E-02  9.7979E-01
   10.00  3.2713E+00 -1.2379E-02  9.8915E-01  9.8932E-01 -2.4158E-02  9.7938E-01
   11.00  2.9894E+00 -1.4917E-02  9.8882E-01  9.8906E-01 -2.9607E-02  9.7897E-01
   12.00  2.7235E+00 -1.7734E-02  9.8846E-01  9.8880E-01 -3.5463E-02  9.7855E-01
   13.00  2.4777E+00 -2.0880E-02  9.8810E-01  9.8853E-01 -4.1536E-02  9.7815E-01
   14.00  2.2547E+00 -2.4420E-02  9.8772E-01  9.8826E-01 -4.7565E-02  9.7778E-01
   15.00  2.0555E+00 -2.8433E-02  9.8735E-01  9.8797E-01 -5.3228E-02  9.7742E-01
   16.00  1.8801E+00 -3.3006E-02  9.8698E-01  9.8765E-01 -5.8170E-02  9.7707E-01
   17.00  1.7271E+00 -3.8224E-02  9.8663E-01  9.8728E-01 -6.2044E-02  9.7671E-01
   18.00  1.5944E+00 -4.4156E-02  9.8629E-01  9.8680E-01 -6.4557E-02  9.7630E-01
   19.00  1.4796E+00 -5.0846E-02  9.8596E-01  9.8620E-01 -6.5521E-02  9.7580E-01
   20.00  1.3796E+00 -5.8304E-02  9.8562E-01  9.8542E-01 -6.4873E-02  9.7516E-01
   21.00  1.2917E+00 -6.6511E-02  9.8526E-01  9.8443E-01 -6.2677E-02  9.7432E-01
   22.00  1.2132E+00 -7.5417E-02  9.8486E-01  9.8319E-01 -5.9108E-02  9.7323E-01
   23.00  1.1418E+00 -8.4955E-02  9.8439E-01  9.8167E-01 -5.4413E-02  9.7185E-01
   24.00  1.0757E+00 -9.5048E-02  9.8384E-01  9.7986E-01 -4.8872E-02  9.7014E-01
   25.00  1.0134E+00 -1.0562E-01  9.8319E-01  9.7775E-01 -4.2762E-02  9.6808E-01
   26.00  9.5412E-01 -1.1659E-01  9.8241E-01  9.7533E-01 -3.6334E-02  9.6565E-01
   27.00  8.9732E-01 -1.2790E-01  9.8149E-01  9.7260E-01 -2.9795E-02  9.6284E-01
   28.00  8.4283E-01 -1.3951E-01  9.8042E-01  9.6957E-01 -2.3295E-02  9.5965E-01
   29.00  7.9070E-01 -1.5136E-01  9.7917E-01  9.6625E-01 -1.6927E-02  9.5608E-01
   30.00  7.4115E-01 -1.6344E-01  9.7775E-01  9.6266E-01 -1.0728E-02  9.5214E-01
   31.00  6.9443E-01 -1.7574E-01  9.7616E-01  9.5879E-01 -4.6755E-03  9.4784E-01
   32.00  6.5074E-01 -1.8828E-01  9.7440E-01  9.5465E-01  1.3003E-03  9.4317E-01
   33.00  6.1025E-01 -2.0107E-01  9.7248E-01  9.5024E-01  7.3114E-03  9.3816E-01
   34.00  5.7300E-01 -2.1417E-01  9.7042E-01  9.4554E-01  1.3497E-02  9.3278E-01
   35.00  5.3890E-01 -2.2760E-01  9.6824E-01  9.4050E-01  2.0010E-02  9.2704E-01
   36.00  5.0778E-01 -2.4142E-01  9.6596E-01  9.3508E-01  2.6995E-02  9.2088E-01
   37.00  4.7936E-01 -2.5567E-01  9.6360E-01  9.2920E-01  3.4578E-02  9.1429E-01
   38.00  4.5333E-01 -2.7038E-01  9.6117E-01  9.2280E-01  4.2847E-02  9.0719E-01
   39.00  4.2933E-01 -2.8557E-01  9.5869E-01  9.1578E-01  5.1852E-02  8.9953E-01
   40.00  4.0702E-01 -3.0124E-01  9.5615E-01  9.0805E-01  6.1601E-02  8.9122E-01
   41.00  3.8608E-01 -3.1734E-01  9.5355E-01  8.9954E-01  7.2064E-02  8.8220E-01
   42.00  3.6628E-01 -3.3385E-01  9.5087E-01  8.9015E-01  8.3182E-02  8.7239E-01
   43.00  3.4740E-01 -3.5069E-01  9.4809E-01  8.7982E-01  9.4878E-02  8.6171E-01
   44.00  3.2933E-01 -3.6780E-01  9.4519E-01  8.6849E-01  1.0707E-01  8.5010E-01
   45.00  3.1199E-01 -3.8507E-01  9.4213E-01  8.5613E-01  1.1965E-01  8.3751E-01
   46.00  2.9538E-01 -4.0242E-01  9.3891E-01  8.4271E-01  1.3256E-01  8.2389E-01
   47.00  2.7952E-01 -4.1974E-01  9.3549E-01  8.2821E-01  1.4570E-01  8.0921E-01
   48.00  2.6445E-01 -4.3692E-01  9.3187E-01  8.1263E-01  1.5902E-01  7.9343E-01
   49.00  2.5021E-01 -4.5388E-01  9.2804E-01  7.9600E-01  1.7246E-01  7.7655E-01
   50.00  2.3687E-01 -4.7052E-01  9.2399E-01  7.7834E-01  1.8597E-01  7.5857E-01
   51.00  2.2445E-01 -4.8676E-01  9.1975E-01  7.5966E-01  1.9950E-01  7.3951E-01
   52.00  2.1295E-01 -5.0254E-01  9.1534E-01  7.4001E-01  2.1303E-01  7.1937E-01
   53.00  2.0237E-01 -5.1780E-01  9.1078E-01  7.1942E-01  2.2653E-01  6.9820E-01
   54.00  1.9266E-01 -5.3252E-01  9.0611E-01  6.9791E-01  2.3996E-01  6.7602E-01
   55.00  1.8377E-01 -5.4668E-01  9.0137E-01  6.7549E-01  2.5328E-01  6.5288E-01
   56.00  1.7563E-01 -5.6028E-01  8.9660E-01  6.5217E-01  2.6647E-01  6.2882E-01
   57.00  1.6815E-01 -5.7330E-01  8.9185E-01  6.2795E-01  2.7947E-01  6.0389E-01
   58.00  1.6124E-01 -5.8577E-01  8.8716E-01  6.0281E-01  2.9224E-01  5.7812E-01
   59.00  1.5483E-01 -5.9768E-01  8.8254E-01  5.7675E-01  3.0475E-01  5.5156E-01
   60.00  1.4884E-01 -6.0903E-01  8.7805E-01  5.4975E-01  3.1693E-01  5.2427E-01
   61.00  1.4320E-01 -6.1980E-01  8.7369E-01  5.2181E-01  3.2875E-01  4.9628E-01
   62.00  1.3788E-01 -6.2998E-01  8.6949E-01  4.9293E-01  3.4018E-01  4.6764E-01
   63.00  1.3283E-01 -6.3953E-01  8.6545E-01  4.6313E-01  3.5118E-01  4.3841E-01
   64.00  1.2802E-01 -6.4841E-01  8.6159E-01  4.3244E-01  3.6172E-01  4.0863E-01
   65.00  1.2345E-01 -6.5657E-01  8.5790E-01  4.0092E-01  3.7180E-01  3.7835E-01
   66.00  1.1912E-01 -6.6396E-01  8.5436E-01  3.6862E-01  3.8138E-01  3.4762E-01
   67.00  1.1502E-01 -6.7050E-01  8.5096E-01  3.3565E-01  3.9046E-01  3.1646E-01
   68.00  1.1117E-01 -6.7614E-01  8.4766E-01  3.0211E-01  3.9902E-01  2.8491E-01
   69.00  1.0756E-01 -6.8080E-01  8.4442E-01  2.6812E-01  4.0704E-01  2.5302E-01
   70.00  1.0422E-01 -6.8441E-01  8.4118E-01  2.3381E-01  4.1448E-01  2.2080E-01
   71.00  1.0114E-01 -6.8690E-01  8.3789E-01  1.9936E-01  4.2129E-01  1.8829E-01
   72.00  9.8329E-02 -6.8822E-01  8.3446E-01  1.6491E-01  4.2744E-01  1.5555E-01
   73.00  9.5780E-02 -6.8831E-01  8.3083E-01  1.3066E-01  4.3284E-01  1.2261E-01
   74.00  9.3491E-02 -6.8715E-01  8.2693E-01  9.6785E-02  4.3742E-01  8.9571E-02
   75.00  9.1451E-02 -6.8473E-01  8.2270E-01  6.3463E-02  4.4110E-01  5.6513E-02
   76.00  8.9650E-02 -6.8107E-01  8.1809E-01  3.0873E-02  4.4382E-01  2.3561E-02
   77.00  8.8074E-02 -6.7622E-01  8.1310E-01 -8.1793E-04  4.4550E-01 -9.1442E-03
   78.00  8.6708E-02 -6.7024E-01  8.0771E-01 -3.1461E-02  4.4613E-01 -4.1443E-02
   79.00  8.5538E-02 -6.6324E-01  8.0195E-01 -6.0931E-02  4.4567E-01 -7.3162E-02
   80.00  8.4549E-02 -6.5535E-01  7.9589E-01 -8.9130E-02  4.4415E-01 -1.0413E-01
   81.00  8.3728E-02 -6.4669E-01  7.8960E-01 -1.1599E-01  4.4163E-01 -1.3416E-01
   82.00  8.3063E-02 -6.3743E-01  7.8318E-01 -1.4149E-01  4.3818E-01 -1.6312E-01
   83.00  8.2545E-02 -6.2772E-01  7.7675E-01 -1.6564E-01  4.3392E-01 -1.9086E-01
   84.00  8.2162E-02 -6.1771E-01  7.7045E-01 -1.8849E-01  4.2900E-01 -2.1727E-01
   85.00  8.1909E-02 -6.0755E-01  7.6442E-01 -2.1012E-01  4.2357E-01 -2.4230E-01
   86.00  8.1777E-02 -5.9735E-01  7.5878E-01 -2.3064E-01  4.1779E-01 -2.6591E-01
   87.00  8.1762E-02 -5.8721E-01  7.5366E-01 -2.5022E-01  4.1183E-01 -2.8812E-01
   88.00  8.1856E-02 -5.7723E-01  7.4919E-01 -2.6899E-01  4.0585E-01 -3.0896E-01
   89.00  8.2054E-02 -5.6743E-01  7.4545E-01 -2.8714E-01  3.9999E-01 -3.2852E-01
   90.00  8.2351E-02 -5.5784E-01  7.4251E-01 -3.0484E-01  3.9436E-01 -3.4691E-01
   91.00  8.2738E-02 -5.4846E-01  7.4041E-01 -3.2224E-01  3.8903E-01 -3.6424E-01
   92.00  8.3209E-02 -5.3925E-01  7.3918E-01 -3.3949E-01  3.8407E-01 -3.8065E-01
   93.00  8.3755E-02 -5.3018E-01  7.3880E-01 -3.5671E-01  3.7950E-01 -3.9628E-01
   94.00  8.4368E-02 -5.2118E-01  7.3925E-01 -3.7400E-01  3.7530E-01 -4.1124E-01
   95.00  8.5037E-02 -5.1219E-01  7.4045E-01 -3.9143E-01  3.7145E-01 -4.2567E-01
   96.00  8.5752E-02 -5.0315E-01  7.4235E-01 -4.0901E-01  3.6789E-01 -4.3966E-01
   97.00  8.6505E-02 -4.9399E-01  7.4487E-01 -4.2677E-01  3.6455E-01 -4.5329E-01
   98.00  8.7284E-02 -4.8466E-01  7.4791E-01 -4.4467E-01  3.6136E-01 -4.6663E-01
   99.00  8.8080E-02 -4.7512E-01  7.5137E-01 -4.6269E-01  3.5823E-01 -4.7972E-01
  100.00  8.8885E-02 -4.6532E-01  7.5517E-01 -4.8075E-01  3.5510E-01 -4.9259E-01
  101.00  8.9691E-02 -4.5524E-01  7.5922E-01 -4.9879E-01  3.5188E-01 -5.0526E-01
  102.00  9.0490E-02 -4.4488E-01  7.6343E-01 -5.1672E-01  3.4852E-01 -5.1771E-01
  103.00  9.1277E-02 -4.3423E-01  7.6773E-01 -5.3448E-01  3.4495E-01 -5.2995E-01
  104.00  9.2047E-02 -4.2329E-01  7.7205E-01 -5.5196E-01  3.4115E-01 -5.4194E-01
  105.00  9.2798E-02 -4.1210E-01  7.7634E-01 -5.6909E-01  3.3706E-01 -5.5366E-01
  106.00  9.3527E-02 -4.0067E-01  7.8054E-01 -5.8580E-01  3.3268E-01 -5.6510E-01
  107.00  9.4233E-02 -3.8903E-01  7.8462E-01 -6.0203E-01  3.2800E-01 -5.7621E-01
  108.00  9.4917E-02 -3.7721E-01  7.8855E-01 -6.1770E-01  3.2301E-01 -5.8697E-01
  109.00  9.5579E-02 -3.6526E-01  7.9230E-01 -6.3278E-01  3.1773E-01 -5.9737E-01
  110.00  9.6220E-02 -3.5322E-01  7.9587E-01 -6.4723E-01  3.1216E-01 -6.0738E-01
  111.00  9.6843E-02 -3.4113E-01  7.9924E-01 -6.6101E-01  3.0634E-01 -6.1697E-01
