****************************************************
****************************************************
 mstm calculation results
 date, time:
20221117 112918.123 
 input file:
linear_chain_10_rand.inp
****************************************************
 input variables for run     1
 sphere data input file:
linear_chain_10_z_config.pos
 number spheres
   10
 length, ref index scale factors
  1.2670000E+00  1.0400000E+00  1.8330000E+00
 volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
  2.7296659E+00  1.2670000E+00  1.2157411E+01  2.7296659E+00
 random orientation, estimated t matrix order:
    20
 layer 0 refractive index
  1.0000E+00  0.0000E+00
 number of plane boundaries 
  0
 max_iterations,solution_epsilon, mie_epsilon
     10000  1.0000E-06  1.0000E-06
 maximum Mie order, number of equations:
   5       700
 mean sphere Mie extinction, absorption efficiencies
  3.4770E+00  1.6863E+00
****************************************************
 calculation results for run 
           1
 number iterations, error, solution time 
     0  0.0000E+00  6.1131E+00
 t matrix order:
    18
 total extinction, absorption, scattering efficiencies (unpolarized incidence)
  5.6342E+00  2.7355E+00  2.8988E+00
 total scattering
 number directions, number SM elements:
   181     6
   theta     11          12          22          33          34          44     
    0.00  5.3036E+00  0.0000E+00  9.8888E-01  9.8888E-01  0.0000E+00  9.7799E-01
    1.00  5.2761E+00 -1.2324E-04  9.8886E-01  9.8886E-01 -2.5921E-04  9.7794E-01
    2.00  5.1947E+00 -4.9217E-04  9.8878E-01  9.8878E-01 -1.0413E-03  9.7780E-01
    3.00  5.0625E+00 -1.1045E-03  9.8865E-01  9.8865E-01 -2.3592E-03  9.7757E-01
    4.00  4.8847E+00 -1.9570E-03  9.8847E-01  9.8847E-01 -4.2331E-03  9.7725E-01
    5.00  4.6678E+00 -3.0454E-03  9.8823E-01  9.8824E-01 -6.6882E-03  9.7683E-01
    6.00  4.4198E+00 -4.3662E-03  9.8793E-01  9.8795E-01 -9.7510E-03  9.7632E-01
    7.00  4.1492E+00 -5.9171E-03  9.8758E-01  9.8762E-01 -1.3444E-02  9.7571E-01
    8.00  3.8648E+00 -7.6991E-03  9.8716E-01  9.8722E-01 -1.7778E-02  9.7501E-01
    9.00  3.5750E+00 -9.7188E-03  9.8668E-01  9.8678E-01 -2.2743E-02  9.7423E-01
   10.00  3.2879E+00 -1.1991E-02  9.8614E-01  9.8629E-01 -2.8296E-02  9.7336E-01
   11.00  3.0103E+00 -1.4541E-02  9.8555E-01  9.8575E-01 -3.4346E-02  9.7242E-01
   12.00  2.7476E+00 -1.7408E-02  9.8490E-01  9.8516E-01 -4.0747E-02  9.7143E-01
   13.00  2.5042E+00 -2.0647E-02  9.8422E-01  9.8454E-01 -4.7284E-02  9.7040E-01
   14.00  2.2825E+00 -2.4325E-02  9.8351E-01  9.8388E-01 -5.3677E-02  9.6935E-01
   15.00  2.0840E+00 -2.8519E-02  9.8279E-01  9.8318E-01 -5.9596E-02  9.6830E-01
   16.00  1.9085E+00 -3.3312E-02  9.8209E-01  9.8244E-01 -6.4690E-02  9.6726E-01
   17.00  1.7551E+00 -3.8776E-02  9.8141E-01  9.8165E-01 -6.8628E-02  9.6625E-01
   18.00  1.6217E+00 -4.4967E-02  9.8079E-01  9.8079E-01 -7.1147E-02  9.6526E-01
   19.00  1.5061E+00 -5.1913E-02  9.8022E-01  9.7984E-01 -7.2093E-02  9.6427E-01
   20.00  1.4054E+00 -5.9611E-02  9.7971E-01  9.7879E-01 -7.1438E-02  9.6326E-01
   21.00  1.3170E+00 -6.8032E-02  9.7924E-01  9.7761E-01 -6.9281E-02  9.6221E-01
   22.00  1.2383E+00 -7.7121E-02  9.7882E-01  9.7628E-01 -6.5818E-02  9.6107E-01
   23.00  1.1670E+00 -8.6811E-02  9.7841E-01  9.7478E-01 -6.1309E-02  9.5982E-01
   24.00  1.1012E+00 -9.7032E-02  9.7800E-01  9.7309E-01 -5.6030E-02  9.5841E-01
   25.00  1.0395E+00 -1.0772E-01  9.7758E-01  9.7121E-01 -5.0241E-02  9.5683E-01
   26.00  9.8088E-01 -1.1881E-01  9.7711E-01  9.6912E-01 -4.4161E-02  9.5506E-01
   27.00  9.2477E-01 -1.3027E-01  9.7658E-01  9.6681E-01 -3.7947E-02  9.5307E-01
   28.00  8.7087E-01 -1.4207E-01  9.7599E-01  9.6428E-01 -3.1694E-02  9.5086E-01
   29.00  8.1914E-01 -1.5420E-01  9.7531E-01  9.6151E-01 -2.5428E-02  9.4839E-01
   30.00  7.6970E-01 -1.6665E-01  9.7455E-01  9.5848E-01 -1.9118E-02  9.4566E-01
   31.00  7.2271E-01 -1.7945E-01  9.7369E-01  9.5516E-01 -1.2680E-02  9.4262E-01
   32.00  6.7839E-01 -1.9261E-01  9.7273E-01  9.5152E-01 -5.9957E-03  9.3925E-01
   33.00  6.3685E-01 -2.0617E-01  9.7168E-01  9.4751E-01  1.0771E-03  9.3548E-01
   34.00  5.9818E-01 -2.2015E-01  9.7055E-01  9.4305E-01  8.6813E-03  9.3126E-01
   35.00  5.6235E-01 -2.3458E-01  9.6933E-01  9.3808E-01  1.6943E-02  9.2652E-01
