****************************************************
****************************************************
 mstm calculation results
 date, time:
20220919 082317.457 
 input file:
linear_chain_20.inp
****************************************************
 input variables for run     1
 sphere data input file:
linear_chain_20_config.pos
 number spheres
   20
 length, ref index scale factors
  1.2670000E+00  1.0400000E+00  1.8330000E+00
 volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
  3.4391627E+00  1.2670000E+00  2.3323191E+01  3.4391627E+00
 random orientation, estimated t matrix order:
    32
 layer 0 refractive index
  1.0000E+00  0.0000E+00
 number of plane boundaries 
  0
 max_iterations,solution_epsilon, mie_epsilon
     10000  1.0000E-06  1.0000E-06
 maximum Mie order, number of equations:
   5      1400
 mean sphere Mie extinction, absorption efficiencies
  3.4770E+00  1.6863E+00
****************************************************
 calculation results for run 
           1
 number iterations, error, solution time 
     0  0.0000E+00  1.3246E+03
 t matrix order:
    31
 total extinction, absorption, scattering efficiencies (unpolarized incidence)
  6.6930E+00  3.2790E+00  3.4140E+00
 total scattering
 number directions, number SM elements:
   181     6
   theta     11          12          22          33          34          44     
    0.00  1.0168E+01  0.0000E+00  9.8442E-01  9.8442E-01  0.0000E+00  9.6900E-01
    1.00  9.9703E+00  1.6719E-04  9.8438E-01  9.8438E-01 -2.0734E-03  9.6893E-01
    2.00  9.4085E+00  6.7401E-04  9.8427E-01  9.8426E-01 -8.3702E-03  9.6873E-01
    3.00  8.5644E+00  1.5265E-03  9.8411E-01  9.8405E-01 -1.9075E-02  9.6843E-01
    4.00  7.5541E+00  2.6997E-03  9.8395E-01  9.8376E-01 -3.4323E-02  9.6807E-01
    5.00  6.5015E+00  4.0797E-03  9.8386E-01  9.8337E-01 -5.3889E-02  9.6770E-01
    6.00  5.5142E+00  5.3876E-03  9.8392E-01  9.8284E-01 -7.6720E-02  9.6740E-01
    7.00  4.6651E+00  6.1325E-03  9.8420E-01  9.8216E-01 -1.0052E-01  9.6720E-01
    8.00  3.9862E+00  5.6879E-03  9.8472E-01  9.8128E-01 -1.2186E-01  9.6710E-01
    9.00  3.4718E+00  3.5488E-03  9.8542E-01  9.8019E-01 -1.3741E-01  9.6699E-01
   10.00  3.0915E+00 -3.6443E-04  9.8613E-01  9.7892E-01 -1.4561E-01  9.6673E-01
   11.00  2.8041E+00 -5.6345E-03  9.8668E-01  9.7755E-01 -1.4755E-01  9.6622E-01
   12.00  2.5719E+00 -1.1588E-02  9.8695E-01  9.7617E-01 -1.4606E-01  9.6548E-01
   13.00  2.3680E+00 -1.7621E-02  9.8694E-01  9.7492E-01 -1.4406E-01  9.6463E-01
   14.00  2.1792E+00 -2.3395E-02  9.8672E-01  9.7387E-01 -1.4341E-01  9.6384E-01
   15.00  2.0027E+00 -2.8874E-02  9.8639E-01  9.7310E-01 -1.4454E-01  9.6330E-01
   16.00  1.8411E+00 -3.4273E-02  9.8604E-01  9.7259E-01 -1.4672E-01  9.6308E-01
   17.00  1.6977E+00 -3.9942E-02  9.8574E-01  9.7226E-01 -1.4868E-01  9.6311E-01
   18.00  1.5733E+00 -4.6225E-02  9.8546E-01  9.7193E-01 -1.4927E-01  9.6320E-01
